R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_landed,B_SIG_STR_landed,R_SIG_STR_pct,B_SIG_STR_pct,R_total_STR_landed,B_total_STR_landed,R_total_STR_pct,B_total_STR_pct,R_TD_landed,B_TD_landed,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL_time_seconds,B_CTRL_time_seconds,R_HEAD_STR_landed,B_HEAD_STR_landed,R_HEAD_STR_pct,B_HEAD_STR_pct,R_BODY_STR_landed,B_BODY_STR_landed,R_BODY_STR_pct,B_BODY_STR_pct,R_LEG_STR_landed,B_LEG_STR_landed,R_LEG_STR_pct,B_LEG_STR_pct,R_DISTANCE_STR_landed,B_DISTANCE_STR_landed,R_DISTANCE_STR_pct,B_DISTANCE_STR_pct,R_CLINCH_STR_landed,B_CLINCH_STR_landed,R_CLINCH_STR_pct,B_CLINCH_STR_pct,R_GND_STR_landed,B_GND_STR_landed,R_GND_STR_pct,B_GND_STR_pct,winner,win_type,finish_type,decision_type,last_round,last_round_time,format,date,title_bout,weight_class
Dan Ige,Melquizael Costa,0,1,7,19,63.0,47.0,12,26,75.0,54.17,1,1,33.0,100.0,0,0,0,0,91,32,2,9,40.0,34.62,2,7,66.67,77.78,3,3,100.0,60.0,7,13,63.64,44.83,0,4,,80.0,0,2,,33.33,blue,finish,KO/TKO,,1,4:56,3,2026-02-21,False,Featherweight
Serghei Spivac,Ante Delija,0,0,67,61,44.0,35.0,102,61,55.14,35.26,1,0,25.0,,0,0,0,0,180,12,65,56,44.83,33.73,1,5,33.33,83.33,1,0,100.0,,67,58,45.27,34.52,0,3,0.0,75.0,0,0,,,red,decision,,unanimous,3,5:00,3,2026-02-21,False,Heavyweight
Jacobe Smith,Josiah Harrell,0,0,33,7,70.0,50.0,37,7,72.55,50.0,2,0,100.0,0.0,0,0,0,0,21,1,18,1,62.07,16.67,9,3,90.0,60.0,6,3,75.0,100.0,23,7,62.16,50.0,0,0,,,10,0,100.0,,red,finish,KO/TKO,,1,3:01,3,2026-02-21,False,Welterweight
Zach Reese,Michel Pereira,0,0,74,63,50.0,47.0,81,70,50.62,50.36,1,2,33.0,100.0,1,0,0,0,47,48,24,29,26.67,38.67,30,31,78.95,58.49,20,3,100.0,75.0,72,53,50.7,44.54,2,9,33.33,81.82,0,1,,50.0,blue,decision,,split,3,5:00,3,2026-02-21,False,Middleweight
Chidi Njokuani,Carlos Leal,0,0,120,115,58.0,41.0,124,126,59.05,43.9,0,0,0.0,0.0,0,0,0,0,6,140,45,71,40.91,31.42,39,29,68.42,82.86,36,15,94.74,100.0,105,112,56.15,41.33,14,3,87.5,60.0,1,0,50.0,,blue,decision,,unanimous,3,5:00,3,2026-02-21,False,Welterweight
Ode Osbourne,Alibi Idiris,0,0,32,30,35.0,40.0,48,62,44.86,52.99,0,5,0.0,33.0,0,0,1,0,58,370,21,22,28.38,37.93,11,1,73.33,20.0,0,7,0.0,58.33,27,22,32.14,34.38,5,2,83.33,50.0,0,6,,85.71,blue,decision,,unanimous,3,5:00,3,2026-02-21,False,Flyweight
Alden Coria,Luis Gurule,0,0,79,50,45.0,33.0,96,59,49.74,34.91,1,1,25.0,33.0,0,0,1,0,102,81,52,32,37.96,26.23,15,8,57.69,50.0,12,10,100.0,83.33,70,45,42.42,32.14,6,5,85.71,50.0,3,0,100.0,,red,decision,,unanimous,3,5:00,3,2026-02-21,False,Flyweight
Nora Cornolle,Joselyne Edwards,0,0,20,19,57.0,63.0,37,44,63.79,69.84,0,2,,50.0,0,1,0,0,23,273,9,17,40.91,70.83,6,2,85.71,40.0,5,0,83.33,0.0,8,4,42.11,30.77,12,2,75.0,50.0,0,13,,100.0,blue,finish,SUB,,2,2:44,3,2026-02-21,False,Women's Bantamweight
Ramiz Brahimaj,Punahele Soriano,0,0,38,40,56.0,43.0,43,66,58.9,53.66,3,3,27.0,75.0,0,0,0,0,228,300,16,29,38.1,36.71,21,11,87.5,84.62,1,0,100.0,,35,25,55.56,33.78,3,14,75.0,93.33,0,1,,33.33,blue,decision,,unanimous,3,5:00,3,2026-02-21,False,Welterweight
Phil Rowe,Jean-Paul Lebosnoyani,0,0,54,66,48.0,59.0,59,84,50.43,61.76,0,3,,33.0,0,2,0,0,15,317,42,40,44.68,51.95,3,10,50.0,58.82,9,16,81.82,94.12,50,47,46.73,54.02,4,6,100.0,60.0,0,13,,92.86,blue,decision,,split,3,5:00,3,2026-02-21,False,Welterweight
Jordan Leavitt,Yadier del Valle,0,0,17,13,37.0,30.0,45,76,52.33,67.86,4,0,50.0,,0,0,0,0,477,137,7,4,38.89,15.38,3,8,15.79,100.0,7,1,87.5,12.5,12,7,33.33,19.44,0,1,,100.0,5,5,55.56,100.0,red,decision,,unanimous,3,5:00,3,2026-02-21,False,Featherweight
Juliana Miller,Carli Judice,0,0,36,79,29.0,42.0,46,104,33.33,48.6,2,0,15.0,,1,0,0,0,218,67,24,53,24.0,37.06,11,20,55.0,58.82,1,6,50.0,75.0,29,75,26.61,41.67,7,3,53.85,75.0,0,1,,100.0,blue,decision,,unanimous,3,5:00,3,2026-02-21,False,Women's Flyweight
Mario Bautista,Vinicius Oliveira,0,0,15,12,55.0,57.0,49,18,77.78,66.67,5,0,71.0,0.0,1,0,0,0,347,99,10,3,50.0,30.0,5,3,83.33,60.0,0,6,0.0,100.0,6,9,50.0,50.0,0,3,0.0,100.0,9,0,69.23,,red,finish,SUB,,2,4:46,5,2026-02-07,False,Bantamweight
Amir Albazi,Kyoji Horiguchi,0,0,16,73,23.0,53.0,20,99,26.67,60.74,0,0,0.0,0.0,0,0,0,0,230,62,12,65,19.35,52.85,4,3,80.0,50.0,0,5,,71.43,12,71,20.0,53.38,4,2,66.67,66.67,0,0,0.0,,blue,decision,,unanimous,3,5:00,3,2026-02-07,False,Flyweight
Jailton Almeida,Rizvan Kuniev,0,0,31,43,46.0,46.0,50,102,54.35,66.67,0,0,0.0,,0,0,0,0,84,395,17,31,34.0,40.26,12,11,80.0,73.33,2,1,100.0,100.0,23,22,40.35,33.85,8,21,80.0,75.0,0,0,,,blue,decision,,unanimous,3,5:00,3,2026-02-07,False,Heavyweight
