R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_landed,B_SIG_STR_landed,R_SIG_STR_pct,B_SIG_STR_pct,R_total_STR_landed,B_total_STR_landed,R_total_STR_pct,B_total_STR_pct,R_TD_landed,B_TD_landed,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL_time_seconds,B_CTRL_time_seconds,R_HEAD_STR_landed,B_HEAD_STR_landed,R_HEAD_STR_pct,B_HEAD_STR_pct,R_BODY_STR_landed,B_BODY_STR_landed,R_BODY_STR_pct,B_BODY_STR_pct,R_LEG_STR_landed,B_LEG_STR_landed,R_LEG_STR_pct,B_LEG_STR_pct,R_DISTANCE_STR_landed,B_DISTANCE_STR_landed,R_DISTANCE_STR_pct,B_DISTANCE_STR_pct,R_CLINCH_STR_landed,B_CLINCH_STR_landed,R_CLINCH_STR_pct,B_CLINCH_STR_pct,R_GND_STR_landed,B_GND_STR_landed,R_GND_STR_pct,B_GND_STR_pct,winner,win_type,finish_type,decision_type,last_round,last_round_time,format,date,title_bout,weight_class
Valentina Shevchenko,Manon Fiorot,1,0,72,71,48.0,44.0,173,150,68.92,62.76,2,1,22.0,8.0,0,0,0,0,112,427,48,29,40.68,25.66,7,35,58.33,94.59,17,7,89.47,70.0,62,40,49.21,32.26,7,29,38.89,87.88,3,2,60.0,66.67,red,decision,,unanimous,5,5:00,5,2025-05-10,True,Women's Flyweight
Jose Aldo,Aiemann Zahabi,1,0,68,99,40.0,49.0,71,109,41.76,52.15,0,0,0.0,,0,0,0,0,2,158,48,79,35.56,47.31,13,14,52.0,63.64,7,6,100.0,60.0,67,66,40.36,43.71,0,8,,72.73,1,25,100.0,67.57,blue,decision,,unanimous,3,5:00,3,2025-05-10,False,Featherweight
Alexa Grasso,Natalia Silva,0,0,45,65,32.0,39.0,54,74,36.24,42.77,0,0,0.0,,0,0,0,0,40,15,28,42,27.72,30.66,5,9,33.33,81.82,12,14,52.17,87.5,43,64,31.62,39.51,2,1,66.67,50.0,0,0,,,blue,decision,,unanimous,3,5:00,3,2025-05-10,False,Women's Flyweight
Benoit Saint Denis,Kyle Prepolec,0,0,54,12,77.0,44.0,77,14,74.76,48.28,3,0,60.0,0.0,2,0,0,0,332,7,36,11,70.59,42.31,11,1,91.67,100.0,7,0,100.0,,24,10,72.73,41.67,22,2,91.67,66.67,8,0,61.54,,red,finish,SUB,,2,2:35,3,2025-05-10,False,Lightweight
Mike Malott,Charles Radtke,1,0,36,10,59.0,30.0,36,10,59.02,30.3,0,0,,,0,0,0,0,5,0,21,9,50.0,29.03,5,0,55.56,,10,1,100.0,50.0,28,9,54.9,29.03,2,1,66.67,50.0,6,0,85.71,,red,finish,KO/TKO,,2,0:26,3,2025-05-10,False,Welterweight
Jessica Andrade,Jasmine Jasudavicius,0,0,4,11,50.0,61.0,4,27,50.0,72.97,0,1,,50.0,0,1,0,0,0,72,0,9,0.0,56.25,0,1,,100.0,4,1,80.0,100.0,4,8,50.0,53.33,0,0,,,0,3,,100.0,blue,finish,SUB,,1,2:40,3,2025-05-10,False,Women's Flyweight
Modestas Bukauskas,Ion Cutelaba,0,0,44,58,47.0,44.0,52,121,52.0,62.37,0,0,,0.0,0,0,0,0,86,141,37,18,43.53,24.32,3,16,100.0,84.21,4,24,100.0,64.86,42,47,46.67,40.17,2,11,100.0,84.62,0,0,,,red,decision,,split,3,5:00,3,2025-05-10,False,Light Heavyweight
Navajo Stirling,Ivan Erslan,1,0,110,36,48.0,36.0,124,63,51.03,48.84,3,0,60.0,0.0,0,0,0,0,181,101,54,28,36.73,31.11,26,7,65.0,77.78,30,1,78.95,100.0,84,36,46.41,36.0,3,0,75.0,,23,0,57.5,,red,decision,,unanimous,3,5:00,3,2025-05-10,False,Light Heavyweight
Marc-Andre Barriault,Bruno Silva,1,0,14,6,58.0,50.0,14,6,58.33,50.0,0,0,,0.0,0,0,0,0,18,0,11,4,57.89,40.0,3,2,75.0,100.0,0,0,0.0,,4,1,40.0,16.67,7,5,70.0,100.0,3,0,75.0,0.0,red,finish,KO/TKO,,1,1:27,3,2025-05-10,False,Middleweight
Daniel Santos,JeongYeong Lee,0,0,90,68,48.0,45.0,119,107,55.87,56.32,6,0,33.0,,0,0,0,0,366,0,59,40,43.38,35.71,18,16,60.0,66.67,13,12,72.22,85.71,82,65,47.13,44.83,1,3,50.0,75.0,7,0,87.5,0.0,red,decision,,unanimous,3,5:00,3,2025-05-10,False,Featherweight
Brad Katona,Bekzat Almakhan,0,1,1,8,25.0,72.0,1,8,25.0,72.73,0,0,,,0,0,0,0,0,2,1,7,33.33,70.0,0,1,,100.0,0,0,0.0,,1,6,25.0,66.67,0,0,,,0,2,,100.0,blue,finish,KO/TKO,,1,1:04,3,2025-05-10,False,Bantamweight
Cory Sandhagen,Deiveson Figueiredo,0,0,54,6,62.0,66.0,92,8,61.74,72.73,2,2,100.0,40.0,0,0,1,1,307,31,33,4,50.77,66.67,2,0,100.0,,19,2,95.0,66.67,24,4,55.81,57.14,0,2,,100.0,30,0,68.18,,red,finish,KO/TKO,,2,4:08,5,2025-05-03,False,Bantamweight
Reinier de Ridder,Bo Nickal,1,0,22,8,68.0,38.0,91,24,87.5,60.0,0,1,0.0,100.0,0,0,0,0,129,144,9,2,50.0,15.38,13,4,92.86,80.0,0,2,,66.67,7,3,46.67,21.43,15,5,88.24,71.43,0,0,,,red,finish,KO/TKO,,2,1:53,3,2025-05-03,False,Middleweight
Santiago Ponzinibbio,Daniel Rodriguez,0,1,49,66,44.0,39.0,50,70,43.48,41.18,1,0,12.0,,0,0,0,0,44,8,31,39,37.35,29.77,6,20,37.5,80.0,12,7,100.0,70.0,49,64,44.14,39.02,0,1,,100.0,0,1,,100.0,blue,finish,KO/TKO,,3,1:12,3,2025-05-03,False,Welterweight
Montel Jackson,Daniel Marcos,0,0,30,17,45.0,53.0,67,24,63.21,55.81,2,3,25.0,42.0,1,0,0,0,217,345,25,5,43.1,27.78,1,5,33.33,71.43,4,7,80.0,100.0,27,13,43.55,48.15,3,3,75.0,75.0,0,1,,100.0,red,decision,,unanimous,3,5:00,3,2025-05-03,False,Bantamweight
Cameron Smotherman,Serhiy Sidey,0,0,58,55,43.0,41.0,61,66,44.53,44.3,0,5,,41.0,0,1,0,0,0,252,43,30,37.72,30.61,15,15,75.0,68.18,0,10,,83.33,53,49,42.74,40.16,5,6,50.0,60.0,0,0,,,blue,decision,,unanimous,3,5:00,3,2025-05-03,False,Bantamweight
Jeremy Stephens,Mason Jones,0,0,42,81,38.0,35.0,54,104,42.86,39.85,0,8,,66.0,0,0,0,0,11,363,19,50,24.05,26.6,7,19,63.64,67.86,16,12,88.89,80.0,41,74,39.05,33.64,1,5,33.33,71.43,0,2,,50.0,blue,decision,,unanimous,3,5:00,3,2025-05-03,False,Lightweight
Yana Santos,Miesha Tate,0,0,66,40,56.0,34.0,87,108,60.84,52.94,0,1,0.0,14.0,0,0,0,0,46,305,37,25,42.53,28.41,15,8,93.75,47.06,14,7,100.0,70.0,47,29,48.96,29.0,19,8,90.48,80.0,0,3,,60.0,red,decision,,unanimous,3,5:00,3,2025-05-03,False,Women's Bantamweight
Ryan Loder,Azamat Bekoev,0,2,13,23,52.0,50.0,15,39,55.56,59.09,0,0,0.0,0.0,0,0,0,0,13,64,6,21,40.0,50.0,7,2,70.0,50.0,0,0,,,6,17,35.29,54.84,7,5,87.5,45.45,0,1,,25.0,blue,finish,KO/TKO,,1,2:44,3,2025-05-03,False,Middleweight
Marina Rodriguez,Gillian Robertson,0,0,4,16,23.0,39.0,7,73,35.0,60.83,0,2,,66.0,1,0,0,0,0,321,3,12,21.43,37.5,1,2,33.33,33.33,0,2,,66.67,4,6,23.53,30.0,0,0,,,0,10,,47.62,blue,finish,KO/TKO,,2,2:07,3,2025-05-03,False,Women's Strawweight
Gaston Bolanos,Quang Le,0,0,5,10,25.0,71.0,8,33,34.78,86.84,0,4,,57.0,0,1,0,0,0,346,1,9,9.09,69.23,1,1,50.0,100.0,3,0,42.86,,5,10,25.0,71.43,0,0,,,0,0,,,blue,finish,SUB,,2,1:54,3,2025-05-03,False,Bantamweight
Thomas Petersen,Don'Tale Mayes,0,0,28,3,54.0,27.0,105,13,63.25,56.52,9,0,100.0,,1,0,0,0,829,0,28,1,54.9,12.5,0,2,,66.67,0,0,,,1,3,20.0,27.27,1,0,100.0,,26,0,57.78,,red,decision,,unanimous,3,5:00,3,2025-05-03,False,Heavyweight
Juliana Miller,Ivana Petrovic,0,0,22,25,40.0,47.0,54,57,53.47,65.52,3,1,33.0,20.0,0,0,0,0,490,167,11,8,26.83,24.24,8,9,72.73,75.0,3,8,100.0,100.0,16,25,34.78,47.17,1,0,33.33,,5,0,83.33,,red,decision,,unanimous,3,5:00,3,2025-05-03,False,Women's Flyweight
Ian Machado Garry,Carlos Prates,0,0,126,63,52.0,48.0,141,64,54.44,48.48,4,0,21.0,,0,0,0,0,189,106,86,38,46.49,39.18,17,16,60.71,76.19,23,9,79.31,81.82,120,50,51.95,43.86,2,1,33.33,50.0,4,12,80.0,92.31,red,decision,,unanimous,5,5:00,5,2025-04-26,False,Welterweight
Anthony Smith,Zhang Mingyang,0,0,10,63,47.0,77.0,11,76,50.0,78.35,0,0,0.0,,0,0,0,0,16,88,8,42,44.44,72.41,2,6,66.67,75.0,0,15,,100.0,10,35,47.62,76.09,0,3,,75.0,0,25,,80.65,blue,finish,KO/TKO,,1,4:03,3,2025-04-26,False,Light Heavyweight
Giga Chikadze,David Onama,0,0,43,49,47.0,56.0,71,72,55.91,56.69,0,3,,100.0,0,0,0,0,0,375,23,29,34.85,52.73,8,1,72.73,16.67,12,19,85.71,73.08,40,38,45.45,50.67,2,1,100.0,100.0,1,10,100.0,90.91,blue,decision,,unanimous,3,5:00,3,2025-04-26,False,Featherweight
Michel Pereira,Abus Magomedov,0,0,73,78,43.0,58.0,74,83,43.79,59.29,0,1,,25.0,0,0,0,0,24,61,27,53,30.0,53.54,27,19,54.0,65.52,19,6,67.86,100.0,72,72,43.37,56.25,1,3,50.0,100.0,0,3,,100.0,blue,decision,,unanimous,3,5:00,3,2025-04-26,False,Middleweight
Randy Brown,Nicolas Dalby,1,1,54,26,47.0,35.0,58,40,49.15,44.44,0,0,,,0,0,0,0,3,82,45,12,43.69,23.08,5,1,71.43,33.33,4,13,100.0,68.42,54,25,47.37,34.72,0,0,,,0,1,,50.0,red,finish,KO/TKO,,2,1:39,3,2025-04-26,False,Welterweight
Ikram Aliskerov,Andre Muniz,1,0,44,16,64.0,44.0,55,16,68.75,44.44,0,0,,0.0,0,0,0,0,32,0,26,6,56.52,26.09,10,6,76.92,66.67,8,4,88.89,100.0,25,16,56.82,44.44,1,0,100.0,,18,0,78.26,,red,finish,KO/TKO,,1,4:54,3,2025-04-26,False,Middleweight
Matt Schnell,Jimmy Flick,0,0,35,12,57.0,60.0,88,48,75.21,80.0,0,5,,71.0,3,1,1,1,233,508,33,8,56.9,61.54,1,0,100.0,0.0,1,4,50.0,80.0,12,8,35.29,50.0,4,2,100.0,100.0,19,2,82.61,100.0,red,decision,,unanimous,3,5:00,3,2025-04-26,False,Flyweight
Evan Elder,Gauge Young,0,0,115,81,54.0,44.0,115,81,54.76,44.26,0,0,0.0,0.0,0,0,0,0,16,2,47,33,37.01,30.84,45,33,78.95,58.93,23,15,88.46,75.0,115,81,54.76,44.26,0,0,,,0,0,,,red,decision,,unanimous,3,5:00,3,2025-04-26,False,Lightweight
Chris Gutierrez,John Castaneda,1,0,46,41,54.0,53.0,65,76,58.04,64.41,0,1,0.0,100.0,0,0,0,0,39,290,20,16,40.0,47.06,5,8,55.56,61.54,21,17,80.77,56.67,44,36,54.32,50.7,0,5,0.0,83.33,2,0,66.67,,red,decision,,split,3,5:00,3,2025-04-26,False,Featherweight
Da'Mon Blackshear,Alatengheili,0,0,125,61,45.0,32.0,127,61,46.18,31.94,0,0,,0.0,0,0,0,0,0,18,75,34,37.5,22.97,37,19,74.0,55.88,13,8,56.52,100.0,123,60,45.56,31.75,2,1,66.67,100.0,0,0,,,red,decision,,unanimous,3,5:00,3,2025-04-26,False,Bantamweight
Malcolm Wellmaker,Cameron Saaiman,1,0,6,9,50.0,50.0,6,9,50.0,50.0,0,0,,,0,0,0,0,1,0,1,1,16.67,11.11,4,1,100.0,50.0,1,7,50.0,100.0,6,9,54.55,50.0,0,0,,,0,0,0.0,,red,finish,KO/TKO,,1,1:59,3,2025-04-26,False,Bantamweight
Jaqueline Amorim,Polyana Viana,0,0,6,0,75.0,0.0,29,23,67.44,74.19,2,0,100.0,,1,0,0,0,394,0,5,0,100.0,0.0,0,0,0.0,0.0,1,0,50.0,,1,0,33.33,0.0,0,0,,,5,0,100.0,,red,finish,SUB,,2,1:49,3,2025-04-26,False,Women's Strawweight
Timmy Cuamba,Roberto Romero,1,0,33,35,51.0,52.0,35,45,53.03,56.96,1,0,25.0,0.0,0,0,0,0,12,139,25,5,47.17,15.62,6,19,75.0,86.36,2,11,66.67,84.62,29,29,49.15,48.33,3,6,75.0,85.71,1,0,100.0,,red,finish,KO/TKO,,2,3:55,3,2025-04-26,False,Featherweight
Chelsea Chandler,Joselyne Edwards,0,0,10,30,43.0,71.0,11,35,45.83,74.47,0,1,,100.0,0,0,0,0,0,49,6,14,35.29,60.87,2,3,50.0,60.0,2,13,100.0,92.86,9,27,42.86,69.23,1,1,50.0,100.0,0,2,,100.0,blue,finish,KO/TKO,,1,2:31,3,2025-04-26,False,Women's Bantamweight
Alexander Volkanovski,Diego Lopes,0,1,158,63,61.0,32.0,165,71,62.03,34.98,1,0,9.0,,0,0,0,0,78,5,136,49,60.44,28.65,8,7,57.14,53.85,14,7,70.0,70.0,142,59,59.92,31.89,7,3,63.64,37.5,9,1,81.82,100.0,red,decision,,unanimous,5,5:00,5,2025-04-12,True,Featherweight
Michael Chandler,Paddy Pimblett,0,0,11,80,39.0,55.0,20,121,51.28,61.42,4,1,57.0,50.0,0,0,0,1,164,281,6,61,33.33,51.26,3,4,42.86,80.0,2,15,66.67,78.95,10,43,41.67,44.79,0,4,,80.0,1,33,25.0,78.57,blue,finish,KO/TKO,,3,3:07,5,2025-04-12,False,Lightweight
Yair Rodriguez,Patricio Freire,1,0,70,17,57.0,34.0,97,23,61.78,38.33,1,1,100.0,25.0,0,1,0,0,103,63,38,8,46.34,21.05,18,2,78.26,50.0,14,7,82.35,87.5,43,17,48.31,34.0,2,0,100.0,,25,0,80.65,,red,decision,,unanimous,3,5:00,3,2025-04-12,False,Featherweight
Bryce Mitchell,Jean Silva,0,1,36,27,56.0,42.0,37,29,56.06,44.62,1,0,7.0,,0,3,0,0,103,19,7,11,28.0,25.0,8,13,44.44,86.67,21,3,100.0,75.0,35,23,57.38,41.07,1,3,33.33,60.0,0,1,,50.0,blue,finish,SUB,,2,3:52,3,2025-04-12,False,Featherweight
Nikita Krylov,Dominick Reyes,0,1,4,8,18.0,47.0,4,8,18.18,47.06,0,0,,,0,0,0,0,0,2,3,5,18.75,35.71,1,1,16.67,100.0,0,2,,100.0,4,6,18.18,40.0,0,0,,,0,2,,100.0,blue,finish,KO/TKO,,1,2:24,3,2025-04-12,False,Light Heavyweight
Dan Ige,Sean Woodson,0,0,44,51,41.0,44.0,53,57,45.69,47.11,0,0,0.0,0.0,0,0,0,0,33,10,28,36,35.9,36.73,11,7,55.0,77.78,5,8,55.56,100.0,41,51,39.42,44.35,3,0,100.0,,0,0,,,red,finish,KO/TKO,,3,1:12,3,2025-04-12,False,Featherweight
Yan Xiaonan,Virna Jandiroba,0,0,17,11,38.0,55.0,64,96,62.14,73.28,0,3,,27.0,0,3,1,1,27,599,13,11,38.24,55.0,3,0,42.86,,1,0,33.33,,12,8,31.58,50.0,0,0,,0.0,5,3,83.33,100.0,blue,decision,,unanimous,3,5:00,3,2025-04-12,False,Women's Strawweight
Jim Miller,Chase Hooper,0,0,13,21,37.0,47.0,22,59,48.89,62.77,1,8,100.0,57.0,2,1,0,0,99,608,11,13,36.67,38.24,1,7,50.0,77.78,1,1,33.33,100.0,7,18,25.0,43.9,1,1,50.0,100.0,5,2,100.0,100.0,blue,decision,,unanimous,3,5:00,3,2025-04-12,False,Lightweight
Darren Elkins,Julian Erosa,0,0,13,54,41.0,73.0,18,69,40.0,75.0,1,0,14.0,,0,0,0,0,48,48,11,52,39.29,73.24,1,0,50.0,,1,2,100.0,100.0,12,22,41.38,56.41,0,11,,91.67,1,21,50.0,95.45,blue,finish,KO/TKO,,1,4:15,3,2025-04-12,False,Featherweight
Sedriques Dumas,Michal Oleksiejczuk,0,1,3,34,11.0,59.0,3,34,11.54,57.63,0,0,,,0,0,0,0,0,18,0,27,0.0,55.1,2,7,40.0,87.5,1,0,33.33,,3,13,11.54,48.15,0,0,,,0,21,,70.0,blue,finish,KO/TKO,,1,2:49,3,2025-04-12,False,Middleweight
Sumudaerji,Mitch Raposo,0,0,45,9,39.0,34.0,78,13,52.0,43.33,0,6,,31.0,0,0,0,0,0,258,25,8,29.76,32.0,5,0,62.5,,15,1,68.18,100.0,39,8,37.5,32.0,6,1,60.0,100.0,0,0,,,red,decision,,split,3,5:00,3,2025-04-12,False,Flyweight
Tresean Gore,Marco Tulio,0,2,17,127,28.0,72.0,17,140,28.33,71.79,0,0,,,0,0,0,0,6,43,10,74,21.28,61.67,3,40,60.0,95.24,4,13,50.0,100.0,17,118,28.33,73.29,0,4,,100.0,0,5,,50.0,blue,finish,KO/TKO,,2,3:16,3,2025-04-12,False,Middleweight
Nora Cornolle,Hailey Cowan,0,0,8,3,66.0,42.0,24,19,75.0,67.86,0,1,,50.0,1,0,0,0,93,264,5,2,55.56,33.33,1,1,100.0,100.0,2,0,100.0,,5,2,55.56,33.33,3,0,100.0,,0,1,,100.0,red,finish,SUB,,2,1:52,3,2025-04-12,False,Women's Bantamweight
Josh Emmett,Lerone Murphy,0,0,41,84,28.0,53.0,44,117,29.53,60.0,4,0,36.0,,0,0,0,0,219,6,29,37,23.39,41.11,6,17,54.55,56.67,6,30,75.0,81.08,40,75,30.08,50.68,1,9,14.29,100.0,0,0,0.0,,blue,decision,,unanimous,5,5:00,5,2025-04-05,False,Featherweight
Pat Sabatini,Joanderson Brito,0,0,24,3,77.0,33.0,135,27,85.44,58.7,4,0,80.0,,1,1,0,0,827,0,22,2,78.57,33.33,2,1,66.67,50.0,0,0,,0.0,2,3,28.57,33.33,1,0,100.0,,21,0,91.3,,red,decision,,unanimous,3,5:00,3,2025-04-05,False,Featherweight
Cortavious Romious,ChangHo Lee,0,0,11,44,45.0,59.0,14,116,51.85,64.8,2,2,66.0,50.0,0,1,1,3,128,338,7,42,36.84,60.0,1,2,50.0,50.0,3,0,100.0,,11,7,45.83,29.17,0,0,,,0,37,,74.0,blue,finish,KO/TKO,,2,3:48,3,2025-04-05,False,Bantamweight
Brad Tavares,Gerald Meerschaert,0,0,47,38,43.0,45.0,56,51,47.46,52.58,0,0,,0.0,0,0,0,0,1,284,29,27,34.12,40.91,12,7,66.67,70.0,6,4,100.0,57.14,45,36,42.86,45.57,2,2,50.0,50.0,0,0,,,red,decision,,unanimous,3,5:00,3,2025-04-05,False,Middleweight
Ode Osbourne,Luis Gurule,1,0,18,12,41.0,35.0,22,26,44.0,53.06,0,1,,25.0,0,0,0,0,7,137,11,3,33.33,23.08,6,0,66.67,0.0,1,9,100.0,64.29,14,11,37.84,34.38,0,1,0.0,50.0,4,0,80.0,,red,finish,KO/TKO,,2,1:54,3,2025-04-05,False,Flyweight
Torrez Finney,Robert Valentin,0,0,4,23,50.0,58.0,17,93,48.57,73.81,8,0,47.0,,0,0,0,1,796,16,2,18,40.0,56.25,2,4,66.67,66.67,0,1,,100.0,1,5,25.0,26.32,0,12,0.0,85.71,3,6,100.0,100.0,red,decision,,split,3,5:00,3,2025-04-05,False,Middleweight
Diana Belbita,Dione Barbosa,0,0,20,27,28.0,54.0,23,35,31.94,60.34,0,1,,100.0,0,1,0,0,0,58,6,23,13.95,50.0,6,2,35.29,100.0,8,2,88.89,100.0,20,25,28.99,52.08,0,2,,100.0,0,0,,,blue,finish,SUB,,1,4:13,3,2025-04-05,False,Women's Flyweight
Rhys McKee,Daniel Frunza,3,0,43,43,38.0,36.0,59,50,44.36,40.32,0,0,,,0,0,0,0,70,0,33,31,33.33,31.63,6,3,75.0,33.33,4,9,100.0,90.0,38,37,37.62,34.58,3,6,37.5,60.0,2,0,100.0,,red,finish,KO/TKO,,1,5:00,3,2025-04-05,False,Welterweight
Loma Lookboonmee,Istela Nunes,0,0,32,36,42.0,58.0,111,51,65.29,62.2,3,0,60.0,0.0,0,0,0,0,274,195,12,7,29.27,26.92,13,11,52.0,84.62,7,18,70.0,78.26,28,33,40.0,56.9,4,3,100.0,100.0,0,0,0.0,0.0,red,decision,,unanimous,3,5:00,3,2025-04-05,False,Women's Strawweight
Victor Henry,Pedro Falcao,1,0,73,57,48.0,48.0,139,69,61.23,51.88,2,4,66.0,30.0,0,0,3,0,250,178,44,34,38.26,37.36,21,11,77.78,84.62,8,12,88.89,92.31,57,55,44.88,48.25,9,2,64.29,66.67,7,0,70.0,,red,decision,,unanimous,3,5:00,3,2025-04-05,False,Bantamweight
Martin Buday,Uran Satybaldiev,0,0,58,36,54.0,25.0,142,45,67.3,29.22,0,0,0.0,0.0,0,0,0,0,306,20,29,19,40.28,15.83,3,6,75.0,100.0,26,11,83.87,73.33,49,32,52.69,23.36,9,4,64.29,100.0,0,0,,,red,decision,,unanimous,3,5:00,3,2025-04-05,False,Heavyweight
Vanessa Demopoulos,Talita Alencar,0,0,10,45,29.0,60.0,34,107,53.97,71.33,0,4,,80.0,0,1,0,0,2,758,9,39,29.03,58.21,1,4,33.33,100.0,0,2,,50.0,9,13,27.27,33.33,0,1,,100.0,1,31,100.0,88.57,blue,decision,,unanimous,3,5:00,3,2025-04-05,False,Women's Strawweight
Brandon Moreno,Steve Erceg,0,0,89,116,50.0,41.0,95,119,52.2,42.2,1,0,20.0,,0,0,0,0,85,0,59,90,42.75,37.97,18,11,72.0,45.83,12,15,92.31,83.33,87,115,50.0,41.37,2,1,100.0,100.0,0,0,,,red,decision,,unanimous,5,5:00,5,2025-03-29,False,Flyweight
Manuel Torres,Drew Dober,1,0,23,3,92.0,33.0,23,3,92.0,33.33,0,0,,,0,0,0,0,10,0,21,2,91.3,40.0,2,0,100.0,0.0,0,1,,100.0,7,3,77.78,33.33,0,0,,,16,0,100.0,,red,finish,KO/TKO,,1,1:45,3,2025-03-29,False,Lightweight
Edgar Chairez,CJ Vergara,0,0,8,6,29.0,46.0,8,6,29.63,46.15,0,0,,,1,0,0,0,16,0,8,1,32.0,50.0,0,0,,0.0,0,5,0.0,62.5,7,6,28.0,46.15,1,0,100.0,,0,0,0.0,,red,finish,SUB,,1,2:30,3,2025-03-29,False,Flyweight
Raul Rosas Jr.,Vince Morales,0,0,20,17,51.0,54.0,26,39,56.52,73.58,4,1,50.0,100.0,0,2,0,0,578,134,12,15,40.0,53.57,5,2,100.0,66.67,3,0,75.0,,16,16,47.06,53.33,0,0,,,4,1,80.0,100.0,red,decision,,unanimous,3,5:00,3,2025-03-29,False,Bantamweight
David Martinez,Saimon Oliveira,1,0,27,7,65.0,29.0,28,7,66.67,29.17,0,0,0.0,,0,0,0,0,42,0,21,3,61.76,17.65,1,3,50.0,75.0,5,1,100.0,33.33,14,7,56.0,30.43,5,0,100.0,0.0,8,0,72.73,,red,finish,KO/TKO,,1,4:38,3,2025-03-29,False,Bantamweight
Ronaldo Rodriguez,Kevin Borjas,0,1,64,83,42.0,58.0,64,84,42.38,59.15,1,0,20.0,,0,0,0,0,57,2,31,72,28.18,55.81,11,6,68.75,85.71,22,5,88.0,100.0,63,78,42.28,57.78,1,3,50.0,75.0,0,2,,100.0,blue,decision,,unanimous,3,5:00,3,2025-03-29,False,Flyweight
Jose Daniel Medina,Ateba Gautier,0,1,17,28,51.0,56.0,17,28,51.52,56.0,0,0,,,0,0,0,0,0,0,6,24,28.57,55.81,6,3,85.71,50.0,5,1,100.0,100.0,17,26,51.52,54.17,0,2,,100.0,0,0,,,blue,finish,KO/TKO,,1,3:32,3,2025-03-29,False,Middleweight
Christian Rodriguez,Melquizael Costa,0,0,64,65,65.0,61.0,77,159,68.14,76.44,6,1,40.0,50.0,1,1,1,3,408,293,36,39,52.17,54.17,23,19,95.83,76.0,5,7,100.0,87.5,29,19,54.72,40.43,26,17,83.87,73.91,9,29,64.29,82.86,blue,decision,,unanimous,3,5:00,3,2025-03-29,False,Featherweight
Loopy Godinez,Julia Polastri,0,0,84,87,56.0,57.0,114,117,61.96,62.9,5,0,45.0,,0,0,0,0,450,19,71,58,52.59,51.79,9,14,81.82,60.87,4,15,100.0,93.75,75,78,53.19,57.78,7,4,100.0,100.0,2,5,100.0,41.67,red,decision,,unanimous,3,5:00,3,2025-03-29,False,Women's Strawweight
Rafa Garcia,Vinc Pichel,0,0,64,79,53.0,43.0,76,88,55.88,46.07,2,0,33.0,0.0,0,0,0,0,135,1,49,32,48.04,27.59,12,27,85.71,62.79,3,20,75.0,86.96,59,74,51.75,42.53,4,4,80.0,57.14,1,1,100.0,100.0,red,decision,,unanimous,3,5:00,3,2025-03-29,False,Lightweight
Jamall Emmers,Gabriel Miranda,2,0,33,18,61.0,51.0,35,20,62.5,54.05,0,2,,50.0,0,1,1,0,49,85,24,10,53.33,41.67,7,5,100.0,71.43,2,3,100.0,75.0,26,16,55.32,50.0,3,2,100.0,66.67,4,0,100.0,,red,finish,KO/TKO,,1,4:06,3,2025-03-29,False,Featherweight
MarQuel Mederos,Austin Hubbard,0,0,44,26,64.0,40.0,57,62,70.37,51.24,0,2,0.0,22.0,0,1,1,0,93,454,21,16,51.22,31.37,7,6,100.0,66.67,16,4,80.0,80.0,32,22,58.18,36.67,4,3,100.0,100.0,8,1,88.89,50.0,red,decision,,split,3,5:00,3,2025-03-29,False,Lightweight
Leon Edwards,Sean Brady,0,0,23,57,65.0,61.0,23,221,65.71,74.92,0,5,0.0,71.0,0,1,0,0,15,670,10,44,47.62,57.89,11,8,91.67,88.89,2,5,100.0,62.5,11,19,47.83,35.85,12,7,100.0,100.0,0,31,,93.94,blue,finish,SUB,,4,1:39,5,2025-03-22,False,Welterweight
Jan Blachowicz,Carlos Ulberg,0,0,59,75,45.0,47.0,59,75,45.04,47.77,0,0,0.0,0.0,0,0,0,0,0,8,17,19,25.37,21.84,10,6,38.46,40.0,32,50,84.21,90.91,59,74,45.04,47.44,0,1,,100.0,0,0,,,blue,decision,,unanimous,3,5:00,3,2025-03-22,False,Light Heavyweight
Gunnar Nelson,Kevin Holland,0,1,15,55,62.0,61.0,30,138,68.18,77.53,3,0,30.0,0.0,1,0,0,0,569,64,10,30,52.63,52.63,4,15,100.0,75.0,1,10,100.0,83.33,2,15,28.57,44.12,7,22,87.5,81.48,6,18,66.67,64.29,blue,decision,,unanimous,3,5:00,3,2025-03-22,False,Welterweight
Molly McCann,Alexia Thainara,0,0,9,11,42.0,52.0,14,17,50.0,53.12,0,1,,100.0,0,2,0,0,0,204,6,7,35.29,53.85,2,1,66.67,50.0,1,3,100.0,50.0,4,6,36.36,42.86,0,0,,,5,5,50.0,71.43,blue,finish,SUB,,1,4:32,3,2025-03-22,False,Women's Strawweight
Jordan Vucenic,Chris Duncan,0,1,16,15,61.0,37.0,22,24,68.75,48.0,1,4,50.0,80.0,0,1,0,0,12,337,13,9,61.9,29.03,1,5,100.0,100.0,2,1,50.0,25.0,12,8,54.55,26.67,2,1,100.0,50.0,2,6,100.0,75.0,blue,finish,SUB,,2,3:42,3,2025-03-22,False,Lightweight
